Date,Open,High,Low,Close,Adj Close,Volume
2005-12-29,18.16666603088379,18.66666603088379,17.083332061767578,17.66666603088379,14.77318000793457,220964
2005-12-30,18.083332061767578,18.16666603088379,17.66666603088379,17.75,14.842865943908691,67824
2006-01-02,18.16666603088379,18.66666603088379,17.833332061767578,18.5,15.470032691955566,322696
2006-01-03,18.66666603088379,20.16666603088379,18.583332061767578,20.0,16.724355697631836,320499
2006-01-04,20.0,20.333332061767578,19.41666603088379,19.91666603088379,16.654672622680664,144149
2006-01-05,18.833332061767578,19.833332061767578,18.833332061767578,19.083332061767578,15.9578218460083,16180
2006-01-06,18.75,19.16666603088379,18.333332061767578,18.41666603088379,15.400343894958496,42828
2006-01-09,19.583332061767578,19.583332061767578,19.0,19.25,16.097192764282227,37250
2006-01-10,19.583332061767578,19.583332061767578,18.66666603088379,19.0,15.888137817382812,20908
2006-01-12,19.0,19.0,18.333332061767578,18.5,15.470032691955566,16987
2006-01-13,19.16666603088379,20.41666603088379,18.16666603088379,20.083332061767578,16.794042587280273,158464
2006-01-16,20.833332061767578,21.083332061767578,19.66666603088379,20.91666603088379,17.490890502929688,196998
2006-01-17,20.91666603088379,20.91666603088379,20.91666603088379,20.91666603088379,17.490890502929688,0
2006-01-18,22.16666603088379,24.0,21.25,23.333332061767578,19.511749267578125,703199
2006-01-19,24.16666603088379,24.333332061767578,22.66666603088379,23.083332061767578,19.302692413330078,268434
2006-01-20,23.083332061767578,23.083332061767578,23.083332061767578,23.083332061767578,19.302692413330078,0
2006-01-23,23.583332061767578,24.16666603088379,22.833332061767578,23.0,19.233007431030273,105560
2006-01-24,23.333332061767578,23.75,22.583332061767578,22.66666603088379,18.95427131652832,25854
2006-01-25,23.5,23.5,21.833332061767578,22.16666603088379,18.536161422729492,33231
2006-01-27,21.91666603088379,22.25,21.16666603088379,21.41666603088379,17.908998489379883,58374
2006-01-30,21.5,21.583332061767578,20.833332061767578,21.083332061767578,17.630258560180664,31136
2006-01-31,21.333332061767578,22.16666603088379,21.083332061767578,22.16666603088379,18.536161422729492,12859
2006-02-01,23.25,23.333332061767578,22.833332061767578,23.16666603088379,19.372377395629883,38335
2006-02-02,23.25,23.5,22.0,22.16666603088379,18.536161422729492,26643
2006-02-03,22.5,22.5,21.25,21.583332061767578,18.048368453979492,14389
2006-02-06,21.75,22.0,21.333332061767578,21.75,18.18773651123047,24366
2006-02-07,22.0,22.0,21.333332061767578,21.66666603088379,18.118051528930664,53293
2006-02-08,21.66666603088379,21.75,21.25,21.333332061767578,17.839311599731445,9870
2006-02-10,21.25,21.66666603088379,21.0,21.16666603088379,17.699939727783203,11281
2006-02-13,21.16666603088379,21.5,20.0,21.25,17.769630432128906,24299
2006-02-14,20.583332061767578,21.083332061767578,20.0,20.333332061767578,17.003095626831055,45439
2006-02-15,20.25,21.25,20.083332061767578,20.333332061767578,17.003095626831055,33441
2006-02-16,20.75,21.0,20.0,20.083332061767578,16.794042587280273,9780
2006-02-17,20.083332061767578,20.083332061767578,19.5,19.66666603088379,16.445615768432617,30894
2006-02-20,19.66666603088379,20.083332061767578,19.333332061767578,19.5,16.306249618530273,15480
2006-02-21,19.5,19.5,19.5,19.5,16.306249618530273,0
2006-02-22,19.41666603088379,19.75,19.16666603088379,19.5,16.306249618530273,14110
2006-02-23,20.41666603088379,20.41666603088379,19.16666603088379,19.75,16.515300750732422,65568
2006-02-24,19.583332061767578,19.833332061767578,19.41666603088379,19.5,16.306249618530273,25680
2006-02-27,19.583332061767578,19.833332061767578,19.333332061767578,19.5,16.306249618530273,14515
2006-02-28,19.333332061767578,19.5,18.75,18.833332061767578,15.748769760131836,38841
2006-03-01,18.91666603088379,19.083332061767578,18.333332061767578,18.583332061767578,15.539712905883789,20199
2006-03-02,18.333332061767578,18.833332061767578,17.66666603088379,18.25,15.260972023010254,61819
2006-03-03,18.66666603088379,18.91666603088379,17.66666603088379,18.66666603088379,15.60940170288086,11681
